"","SAMPLE","GROUP","GENE","SEQ_COUNT","COPY_COUNT","SEQ_FREQ","COPY_FREQ"
"1056","CS_IMM26","CS_IMM","IGHV8-2",15,15,0.00260869565217391,0.00143129770992366
"1057","RA_CTRL2","RA_CTRL","IGHV1-81",9,15,0.00183038438071995,0.00153014383352035
"1058","RA_CTRL3","RA_CTRL","IGHV1-82",15,15,0.00311720698254364,0.00207986688851913
"1059","RA_IMM11","RA_IMM","IGHV1-61",12,15,0.00267618198037467,0.00201315259696685
"1060","RA_IMM11","RA_IMM","IGHV1-62-2",13,15,0.00289919714540589,0.00201315259696685
"1061","RA_IMM11","RA_IMM","IGHV10-3",12,15,0.00267618198037467,0.00201315259696685
"1062","RA_IMM12","RA_IMM","IGHV1-9",15,15,0.00365141187925998,0.00250125062531266
"1063","RA_IMM4","RA_IMM","IGHV1-42",12,15,0.00122075279755849,0.000872549589901693
"1064","RA_IMM5","RA_IMM","IGHV1-43",10,15,0.00157728706624606,0.00116396368433305
"1065","RA_IMM6","RA_IMM","IGHV1-12",13,15,0.00178989398320253,0.00115402369595322
"1066","RA_IMM6","RA_IMM","IGHV14-2",13,15,0.00178989398320253,0.00115402369595322
"1067","CS_CTRL14","CS_CTRL","IGHV1-12",14,14,0.00506695620702135,0.003584229390681
"1068","CS_CTRL15","CS_CTRL","IGHV14-2",9,14,0.00422535211267606,0.00299017513882956
"1069","CS_CTRL16","CS_CTRL","IGHV12-1",13,14,0.00400616332819723,0.00277722674072605
"1070","CS_IMM17","CS_IMM","IGHV1-22",12,14,0.00255591054313099,0.00147182506307822
"1071","CS_IMM17","CS_IMM","IGHV12-3",14,14,0.00298189563365282,0.00147182506307822
"1072","CS_IMM18","CS_IMM","IGHV1-52",12,14,0.00502933780385583,0.00426049908703591
"1073","CS_IMM18","CS_IMM","IGHV1-78",14,14,0.00586756077116513,0.00426049908703591
"1074","CS_IMM19","CS_IMM","IGHV11-2",7,14,0.00253807106598985,0.00394811054709532
"1075","CS_IMM21","CS_IMM","IGHV2-9",14,14,0.00238826339133402,0.00154987268902912
"1076","CS_IMM22","CS_IMM","IGHV3-8",11,14,0.00195590327169275,0.00149381135296628
"1077","CS_IMM22","CS_IMM","IGHV7-3",14,14,0.00248933143669986,0.00149381135296628
"1078","CS_IMM23","CS_IMM","IGHV1-66",12,14,0.00393184796854522,0.00312919088064372
"1079","CS_IMM23","CS_IMM","IGHV14-2",10,14,0.00327653997378768,0.00312919088064372
"1080","CS_IMM24","CS_IMM","IGHV1-61",14,14,0.0063006300630063,0.00422068133855894
"1081","CS_IMM24","CS_IMM","IGHV1-85",13,14,0.00585058505850585,0.00422068133855894
"1082","CS_IMM24","CS_IMM","IGHV7-3",12,14,0.0054005400540054,0.00422068133855894
"1083","CS_IMM25","CS_IMM","IGHV14-1",5,14,0.00125533517449159,0.00215484069570571
